Participant,Freq,Amp,Timbre,Experience,Rating
0,1,0,2,Roughness,4
0,1,0,2,Sharpness,0.1
0,1,0,2,Bumpyness,1
0,1,0,2,Adhesiveness,1.1
0,1,0,3,Roughness,2.5
0,1,0,3,Sharpness,0.1
0,1,0,3,Bumpyness,2
0,1,0,3,Adhesiveness,2.5
0,1,1,0,Roughness,2
0,1,1,0,Sharpness,0.09
0,1,1,0,Bumpyness,2
0,1,1,0,Adhesiveness,0.5
0,1,1,1,Roughness,6.5
0,1,1,1,Sharpness,0.15
0,1,1,1,Bumpyness,5
0,1,1,1,Adhesiveness,1.9
0,1,1,2,Roughness,4
0,1,1,2,Sharpness,0.26
0,1,1,2,Bumpyness,4
0,1,1,2,Adhesiveness,2
0,1,1,3,Roughness,4
0,1,1,3,Sharpness,0.08
0,1,1,3,Bumpyness,3
0,1,1,3,Adhesiveness,1
0,1,2,0,Roughness,3
0,1,2,0,Sharpness,0.09
0,1,2,0,Bumpyness,1
0,1,2,0,Adhesiveness,0.3
0,1,2,1,Roughness,4
0,1,2,1,Sharpness,0.2
0,1,2,1,Bumpyness,4
0,1,2,1,Adhesiveness,1.5
0,1,2,2,Roughness,7
0,1,2,2,Sharpness,0.3
0,1,2,2,Bumpyness,6
0,1,2,2,Adhesiveness,3
0,1,2,3,Roughness,4
0,1,2,3,Sharpness,0.2
0,1,2,3,Bumpyness,7
0,1,2,3,Adhesiveness,3
0,2,0,0,Roughness,0.5
0,2,0,0,Sharpness,0.02
0,2,0,0,Bumpyness,1
0,2,0,0,Adhesiveness,0.1
0,2,0,1,Roughness,2
0,2,0,1,Sharpness,0.02
0,2,0,1,Bumpyness,4
0,2,0,1,Adhesiveness,0.3
0,2,0,2,Roughness,4
0,2,0,2,Sharpness,0.025
0,2,0,2,Bumpyness,3
0,2,0,2,Adhesiveness,2
0,2,0,3,Roughness,1
0,2,0,3,Sharpness,0.02
0,2,0,3,Bumpyness,1
0,2,0,3,Adhesiveness,0.5
0,2,1,0,Roughness,1
0,2,1,0,Sharpness,0.05
0,2,1,0,Bumpyness,1
0,2,1,0,Adhesiveness,0.6
0,2,1,1,Roughness,1
0,2,1,1,Sharpness,0.04
0,2,1,1,Bumpyness,3
0,2,1,1,Adhesiveness,1
0,2,1,2,Roughness,6
0,2,1,2,Sharpness,0.3
0,2,1,2,Bumpyness,6
0,2,1,2,Adhesiveness,2.3
0,2,1,3,Roughness,3
0,2,1,3,Sharpness,0.05
0,2,1,3,Bumpyness,3
0,2,1,3,Adhesiveness,1.5
0,2,2,0,Roughness,2
0,2,2,0,Sharpness,0.03
0,2,2,0,Bumpyness,3
0,2,2,0,Adhesiveness,1
0,2,2,1,Roughness,3
0,2,2,1,Sharpness,0.1
0,2,2,1,Bumpyness,4
0,2,2,1,Adhesiveness,0.5
0,2,2,2,Roughness,5
0,2,2,2,Sharpness,0.38
0,2,2,2,Bumpyness,5
0,2,2,2,Adhesiveness,3
0,2,2,3,Roughness,5
0,2,2,3,Sharpness,0.1
0,2,2,3,Bumpyness,5
0,2,2,3,Adhesiveness,3
0,3,0,0,Roughness,1
0,3,0,0,Sharpness,0.001
0,3,0,0,Bumpyness,1
0,3,0,0,Adhesiveness,0.2
0,3,0,1,Roughness,1.5
0,3,0,1,Sharpness,0.08
0,3,0,1,Bumpyness,2.5
0,3,0,1,Adhesiveness,1
0,3,0,2,Roughness,1
0,3,0,2,Sharpness,0.08
0,3,0,2,Bumpyness,2
0,3,0,2,Adhesiveness,0.7
0,3,0,3,Roughness,2
0,3,0,3,Sharpness,0.1
0,3,0,3,Bumpyness,1
0,3,0,3,Adhesiveness,0.5
0,3,1,0,Roughness,1
0,3,1,0,Sharpness,0.04
0,3,1,0,Bumpyness,3
0,3,1,0,Adhesiveness,1.5
0,3,1,1,Roughness,2
0,3,1,1,Sharpness,0.16
0,3,1,1,Bumpyness,2
0,3,1,1,Adhesiveness,1
0,3,1,2,Roughness,3
0,3,1,2,Sharpness,0.1
0,3,1,2,Bumpyness,4
0,3,1,2,Adhesiveness,0.5
0,3,1,3,Roughness,2.5
0,3,1,3,Sharpness,0.3
0,3,1,3,Bumpyness,2
0,3,1,3,Adhesiveness,0.9
0,3,2,0,Roughness,1
0,3,2,0,Sharpness,0.06
0,3,2,0,Bumpyness,2
0,3,2,0,Adhesiveness,0.5
0,3,2,1,Roughness,4.5
0,3,2,1,Sharpness,0.09
0,3,2,1,Bumpyness,6
0,3,2,1,Adhesiveness,2
0,3,2,2,Roughness,6.5
0,3,2,2,Sharpness,0.3
0,3,2,2,Bumpyness,6.5
0,3,2,2,Adhesiveness,2.2
0,3,2,3,Roughness,1
0,3,2,3,Sharpness,0.15
0,3,2,3,Bumpyness,3
0,3,2,3,Adhesiveness,0.8
0,4,0,0,Roughness,0.5
0,4,0,0,Sharpness,0.01
0,4,0,0,Bumpyness,1
0,4,0,0,Adhesiveness,0.2
0,4,0,1,Roughness,1
0,4,0,1,Sharpness,0.02
0,4,0,1,Bumpyness,0.5
0,4,0,1,Adhesiveness,1
0,4,0,2,Roughness,2
0,4,0,2,Sharpness,0.05
0,4,0,2,Bumpyness,1
0,4,0,2,Adhesiveness,2
0,4,0,3,Roughness,1
0,4,0,3,Sharpness,0.02
0,4,0,3,Bumpyness,2
0,4,0,3,Adhesiveness,1.5
0,4,1,0,Roughness,1
0,4,1,0,Sharpness,0.001
0,4,1,0,Bumpyness,2
0,4,1,0,Adhesiveness,0.1
0,4,1,1,Roughness,NaN
0,4,1,1,Sharpness,0.019
0,4,1,1,Bumpyness,2
0,4,1,1,Adhesiveness,1.5
0,4,1,2,Roughness,3
0,4,1,2,Sharpness,0.09
0,4,1,2,Bumpyness,4
0,4,1,2,Adhesiveness,2
0,4,1,3,Roughness,1.5
0,4,1,3,Sharpness,0.02
0,4,1,3,Bumpyness,4
0,4,1,3,Adhesiveness,1.9
0,4,2,0,Roughness,2
0,4,2,0,Sharpness,0.1
0,4,2,0,Bumpyness,3
0,4,2,0,Adhesiveness,1
0,4,2,1,Roughness,3
0,4,2,1,Sharpness,0.11
0,4,2,1,Bumpyness,4
0,4,2,1,Adhesiveness,1.5
0,4,2,2,Roughness,4
0,4,2,2,Sharpness,0.35
0,4,2,2,Bumpyness,7
0,4,2,2,Adhesiveness,2.5
0,4,2,3,Roughness,3
0,4,2,3,Sharpness,0.05
0,4,2,3,Bumpyness,4
0,4,2,3,Adhesiveness,1.5
1,0,0,0,Roughness,5
1,0,0,0,Sharpness,2
1,0,0,0,Bumpyness,7
1,0,0,0,Adhesiveness,30
1,0,0,1,Roughness,10
1,0,0,1,Sharpness,10
1,0,0,1,Bumpyness,20
1,0,0,1,Adhesiveness,50
1,0,0,2,Roughness,15
1,0,0,2,Sharpness,30
1,0,0,2,Bumpyness,25
1,0,0,2,Adhesiveness,80
1,0,0,3,Roughness,10
1,0,0,3,Sharpness,10
1,0,0,3,Bumpyness,10
1,0,0,3,Adhesiveness,0
1,0,1,0,Roughness,3
1,0,1,0,Sharpness,5
1,0,1,0,Bumpyness,30
1,0,1,0,Adhesiveness,30
1,0,1,1,Roughness,120
1,0,1,1,Sharpness,80
1,0,1,1,Bumpyness,70
1,0,1,1,Adhesiveness,50
1,0,1,2,Roughness,20
1,0,1,2,Sharpness,150
1,0,1,2,Bumpyness,90
1,0,1,2,Adhesiveness,150
1,0,1,3,Roughness,15
1,0,1,3,Sharpness,30
1,0,1,3,Bumpyness,35
1,0,1,3,Adhesiveness,15
1,0,2,0,Roughness,15
1,0,2,0,Sharpness,10
1,0,2,0,Bumpyness,15
1,0,2,0,Adhesiveness,20
1,0,2,1,Roughness,80
1,0,2,1,Sharpness,50
1,0,2,1,Bumpyness,110
1,0,2,1,Adhesiveness,50
1,0,2,2,Roughness,100
1,0,2,2,Sharpness,150
1,0,2,2,Bumpyness,140
1,0,2,2,Adhesiveness,100
1,0,2,3,Roughness,20
1,0,2,3,Sharpness,70
1,0,2,3,Bumpyness,40
1,0,2,3,Adhesiveness,20
1,1,0,0,Roughness,8
1,1,0,0,Sharpness,1.5
1,1,0,0,Bumpyness,3
1,1,0,0,Adhesiveness,40
1,1,0,1,Roughness,25
1,1,0,1,Sharpness,30
1,1,0,1,Bumpyness,30
1,1,0,1,Adhesiveness,40
1,1,0,2,Roughness,30
1,1,0,2,Sharpness,20
1,1,0,2,Bumpyness,20
1,1,0,2,Adhesiveness,50
1,1,0,3,Roughness,20
1,1,0,3,Sharpness,10
1,1,0,3,Bumpyness,25
1,1,0,3,Adhesiveness,40
1,1,1,0,Roughness,15
1,1,1,0,Sharpness,20
1,1,1,0,Bumpyness,25
1,1,1,0,Adhesiveness,30
1,1,1,1,Roughness,25
1,1,1,1,Sharpness,60
1,1,1,1,Bumpyness,35
1,1,1,1,Adhesiveness,50
1,1,1,2,Roughness,70
1,1,1,2,Sharpness,80
1,1,1,2,Bumpyness,100
1,1,1,2,Adhesiveness,70
1,1,1,3,Roughness,35
1,1,1,3,Sharpness,30
1,1,1,3,Bumpyness,20
1,1,1,3,Adhesiveness,90
1,1,2,0,Roughness,15
1,1,2,0,Sharpness,15
1,1,2,0,Bumpyness,30
1,1,2,0,Adhesiveness,3
1,1,2,1,Roughness,40
1,1,2,1,Sharpness,70
1,1,2,1,Bumpyness,50
1,1,2,1,Adhesiveness,70
1,1,2,2,Roughness,30
1,1,2,2,Sharpness,120
1,1,2,2,Bumpyness,70
1,1,2,2,Adhesiveness,150
1,1,2,3,Roughness,20
1,1,2,3,Sharpness,70
1,1,2,3,Bumpyness,25
1,1,2,3,Adhesiveness,30
1,2,0,0,Roughness,20
1,2,0,0,Sharpness,NaN
1,2,0,0,Bumpyness,8
1,2,0,0,Adhesiveness,5
1,2,0,1,Roughness,12
1,2,0,1,Sharpness,20
1,2,0,1,Bumpyness,30
1,2,0,1,Adhesiveness,60
1,2,0,2,Roughness,80
1,2,0,2,Sharpness,50
1,2,0,2,Bumpyness,30
1,2,0,2,Adhesiveness,30
1,2,0,3,Roughness,8
1,2,0,3,Sharpness,2
1,2,0,3,Bumpyness,7
1,2,0,3,Adhesiveness,40
1,2,1,0,Roughness,15
1,2,1,0,Sharpness,5
1,2,1,0,Bumpyness,25
1,2,1,0,Adhesiveness,20
1,2,1,1,Roughness,10
1,2,1,1,Sharpness,30
1,2,1,1,Bumpyness,50
1,2,1,1,Adhesiveness,40
1,2,1,2,Roughness,NaN
1,2,1,2,Sharpness,50
1,2,1,2,Bumpyness,90
1,2,1,2,Adhesiveness,120
1,2,1,3,Roughness,10
1,2,1,3,Sharpness,5
1,2,1,3,Bumpyness,20
1,2,1,3,Adhesiveness,70
1,2,2,0,Roughness,8
1,2,2,0,Sharpness,15
1,2,2,0,Bumpyness,60
1,2,2,0,Adhesiveness,50
1,2,2,1,Roughness,40
1,2,2,1,Sharpness,80
1,2,2,1,Bumpyness,150
1,2,2,1,Adhesiveness,100
1,2,2,2,Roughness,60
1,2,2,2,Sharpness,25
1,2,2,2,Bumpyness,75
1,2,2,2,Adhesiveness,20
1,2,2,3,Roughness,70
1,2,2,3,Sharpness,70
1,2,2,3,Bumpyness,20
1,2,2,3,Adhesiveness,30
1,3,0,0,Roughness,5
1,3,0,0,Sharpness,5
1,3,0,0,Bumpyness,8
1,3,0,0,Adhesiveness,50
1,3,0,1,Roughness,80
1,3,0,1,Sharpness,70
1,3,0,1,Bumpyness,70
1,3,0,1,Adhesiveness,30
1,3,0,2,Roughness,40
1,3,0,2,Sharpness,30
1,3,0,2,Bumpyness,40
1,3,0,2,Adhesiveness,20
1,3,0,3,Roughness,4
1,3,0,3,Sharpness,5
1,3,0,3,Bumpyness,10
1,3,0,3,Adhesiveness,5
1,3,1,0,Roughness,40
1,3,1,0,Sharpness,15
1,3,1,0,Bumpyness,15
1,3,1,0,Adhesiveness,20
1,3,1,1,Roughness,60
1,3,1,1,Sharpness,20
1,3,1,1,Bumpyness,50
1,3,1,1,Adhesiveness,50
1,3,1,2,Roughness,25
1,3,1,2,Sharpness,80
1,3,1,2,Bumpyness,40
1,3,1,2,Adhesiveness,100
1,3,1,3,Roughness,20
1,3,1,3,Sharpness,20
1,3,1,3,Bumpyness,25
1,3,1,3,Adhesiveness,30
1,3,2,0,Roughness,5
1,3,2,0,Sharpness,10
1,3,2,0,Bumpyness,25
1,3,2,0,Adhesiveness,30
1,3,2,1,Roughness,130
1,3,2,1,Sharpness,100
1,3,2,1,Bumpyness,100
1,3,2,1,Adhesiveness,40
1,3,2,2,Roughness,80
1,3,2,2,Sharpness,30
1,3,2,2,Bumpyness,120
1,3,2,2,Adhesiveness,50
1,3,2,3,Roughness,60
1,3,2,3,Sharpness,50
1,3,2,3,Bumpyness,20
1,3,2,3,Adhesiveness,20
1,4,0,0,Roughness,8
1,4,0,0,Sharpness,3
1,4,0,0,Bumpyness,15
1,4,0,0,Adhesiveness,20
1,4,0,1,Roughness,6
1,4,0,1,Sharpness,20
1,4,0,1,Bumpyness,20
1,4,0,1,Adhesiveness,40
1,4,0,2,Roughness,40
1,4,0,2,Sharpness,15
1,4,0,2,Bumpyness,35
1,4,0,2,Adhesiveness,50
1,4,0,3,Roughness,15
1,4,0,3,Sharpness,60
1,4,0,3,Bumpyness,8
1,4,0,3,Adhesiveness,10
1,4,1,0,Roughness,3
1,4,1,0,Sharpness,5
1,4,1,0,Bumpyness,8
1,4,1,0,Adhesiveness,30
1,4,1,1,Roughness,60
1,4,1,1,Sharpness,50
1,4,1,1,Bumpyness,40
1,4,1,1,Adhesiveness,200
1,4,1,2,Roughness,30
1,4,1,2,Sharpness,20
1,4,1,2,Bumpyness,90
1,4,1,2,Adhesiveness,80
1,4,1,3,Roughness,50
1,4,1,3,Sharpness,50
1,4,1,3,Bumpyness,20
1,4,1,3,Adhesiveness,20
1,4,2,0,Roughness,50
1,4,2,0,Sharpness,50
1,4,2,0,Bumpyness,50
1,4,2,0,Adhesiveness,50
1,4,2,1,Roughness,120
1,4,2,1,Sharpness,20
1,4,2,1,Bumpyness,200
1,4,2,1,Adhesiveness,40
1,4,2,2,Roughness,80
1,4,2,2,Sharpness,20
1,4,2,2,Bumpyness,120
1,4,2,2,Adhesiveness,30
1,4,2,3,Roughness,15
1,4,2,3,Sharpness,10
1,4,2,3,Bumpyness,30
1,4,2,3,Adhesiveness,30
2,0,0,0,Roughness,2
2,0,0,0,Sharpness,0
2,0,0,0,Bumpyness,0.1
2,0,0,0,Adhesiveness,30
2,0,0,1,Roughness,40
2,0,0,1,Sharpness,0
2,0,0,1,Bumpyness,6
2,0,0,1,Adhesiveness,40
2,0,0,2,Roughness,9
2,0,0,2,Sharpness,5
2,0,0,2,Bumpyness,0
2,0,0,2,Adhesiveness,20
2,0,0,3,Roughness,2
2,0,0,3,Sharpness,50
2,0,0,3,Bumpyness,0
2,0,0,3,Adhesiveness,20
2,0,1,0,Roughness,10
2,0,1,0,Sharpness,3
2,0,1,0,Bumpyness,5
2,0,1,0,Adhesiveness,50
2,0,1,1,Roughness,12
2,0,1,1,Sharpness,5
2,0,1,1,Bumpyness,8
2,0,1,1,Adhesiveness,30
2,0,1,2,Roughness,9
2,0,1,2,Sharpness,19
2,0,1,2,Bumpyness,0
2,0,1,2,Adhesiveness,60
2,0,1,3,Roughness,10
2,0,1,3,Sharpness,40
2,0,1,3,Bumpyness,0
2,0,1,3,Adhesiveness,50
2,0,2,0,Roughness,23
2,0,2,0,Sharpness,5
2,0,2,0,Bumpyness,2
2,0,2,0,Adhesiveness,30
2,0,2,1,Roughness,20
2,0,2,1,Sharpness,10
2,0,2,1,Bumpyness,12
2,0,2,1,Adhesiveness,10
2,0,2,2,Roughness,30
2,0,2,2,Sharpness,25
2,0,2,2,Bumpyness,0
2,0,2,2,Adhesiveness,40
2,0,2,3,Roughness,4
2,0,2,3,Sharpness,40
2,0,2,3,Bumpyness,0.5
2,0,2,3,Adhesiveness,30
2,1,0,0,Roughness,2
2,1,0,0,Sharpness,0
2,1,0,0,Bumpyness,0
2,1,0,0,Adhesiveness,25
2,1,0,1,Roughness,5
2,1,0,1,Sharpness,15
2,1,0,1,Bumpyness,0.2
2,1,0,1,Adhesiveness,28
2,1,0,2,Roughness,7
2,1,0,2,Sharpness,20
2,1,0,2,Bumpyness,0
2,1,0,2,Adhesiveness,10
2,1,0,3,Roughness,1
2,1,0,3,Sharpness,50
2,1,0,3,Bumpyness,0
2,1,0,3,Adhesiveness,15
2,1,1,0,Roughness,1
2,1,1,0,Sharpness,0
2,1,1,0,Bumpyness,1
2,1,1,0,Adhesiveness,20
2,1,1,1,Roughness,30
2,1,1,1,Sharpness,8
2,1,1,1,Bumpyness,8
2,1,1,1,Adhesiveness,60
2,1,1,2,Roughness,18
2,1,1,2,Sharpness,8
2,1,1,2,Bumpyness,0
2,1,1,2,Adhesiveness,40
2,1,1,3,Roughness,5
2,1,1,3,Sharpness,30
2,1,1,3,Bumpyness,0
2,1,1,3,Adhesiveness,40
2,1,2,0,Roughness,12
2,1,2,0,Sharpness,0
2,1,2,0,Bumpyness,1
2,1,2,0,Adhesiveness,10
2,1,2,1,Roughness,35
2,1,2,1,Sharpness,4
2,1,2,1,Bumpyness,3
2,1,2,1,Adhesiveness,70
2,1,2,2,Roughness,50
2,1,2,2,Sharpness,34
2,1,2,2,Bumpyness,12
2,1,2,2,Adhesiveness,100
2,1,2,3,Roughness,12
2,1,2,3,Sharpness,20
2,1,2,3,Bumpyness,3
2,1,2,3,Adhesiveness,18
2,2,0,0,Roughness,0
2,2,0,0,Sharpness,0
2,2,0,0,Bumpyness,0
2,2,0,0,Adhesiveness,20
2,2,0,1,Roughness,9
2,2,0,1,Sharpness,0
2,2,0,1,Bumpyness,8
2,2,0,1,Adhesiveness,10
2,2,0,2,Roughness,16
2,2,0,2,Sharpness,20
2,2,0,2,Bumpyness,3
2,2,0,2,Adhesiveness,60
2,2,0,3,Roughness,6
2,2,0,3,Sharpness,30
2,2,0,3,Bumpyness,0
2,2,0,3,Adhesiveness,60
2,2,1,0,Roughness,12
2,2,1,0,Sharpness,2
2,2,1,0,Bumpyness,5
2,2,1,0,Adhesiveness,40
2,2,1,1,Roughness,60
2,2,1,1,Sharpness,10
2,2,1,1,Bumpyness,8
2,2,1,1,Adhesiveness,0
2,2,1,2,Roughness,25
2,2,1,2,Sharpness,30
2,2,1,2,Bumpyness,2
2,2,1,2,Adhesiveness,30
2,2,1,3,Roughness,8
2,2,1,3,Sharpness,30
2,2,1,3,Bumpyness,10
2,2,1,3,Adhesiveness,12
2,2,2,0,Roughness,20
2,2,2,0,Sharpness,1
2,2,2,0,Bumpyness,12
2,2,2,0,Adhesiveness,25
2,2,2,1,Roughness,20
2,2,2,1,Sharpness,6
2,2,2,1,Bumpyness,4
2,2,2,1,Adhesiveness,10
2,2,2,2,Roughness,35
2,2,2,2,Sharpness,30
2,2,2,2,Bumpyness,10
2,2,2,2,Adhesiveness,40
2,2,2,3,Roughness,12
2,2,2,3,Sharpness,30
2,2,2,3,Bumpyness,7
2,2,2,3,Adhesiveness,30
2,3,0,0,Roughness,5
2,3,0,0,Sharpness,1
2,3,0,0,Bumpyness,1
2,3,0,0,Adhesiveness,10
2,3,0,1,Roughness,10
2,3,0,1,Sharpness,2
2,3,0,1,Bumpyness,6
2,3,0,1,Adhesiveness,30
2,3,0,2,Roughness,6
2,3,0,2,Sharpness,8
2,3,0,2,Bumpyness,18
2,3,0,2,Adhesiveness,30
2,3,0,3,Roughness,4
2,3,0,3,Sharpness,30
2,3,0,3,Bumpyness,15
2,3,0,3,Adhesiveness,20
2,3,1,0,Roughness,12
2,3,1,0,Sharpness,2
2,3,1,0,Bumpyness,4
2,3,1,0,Adhesiveness,30
2,3,1,1,Roughness,12
2,3,1,1,Sharpness,0
2,3,1,1,Bumpyness,9
2,3,1,1,Adhesiveness,10
2,3,1,2,Roughness,16
2,3,1,2,Sharpness,12
2,3,1,2,Bumpyness,0
2,3,1,2,Adhesiveness,10
2,3,1,3,Roughness,8
2,3,1,3,Sharpness,40
2,3,1,3,Bumpyness,9
2,3,1,3,Adhesiveness,50
2,3,2,0,Roughness,22
2,3,2,0,Sharpness,2
2,3,2,0,Bumpyness,6
2,3,2,0,Adhesiveness,10
2,3,2,1,Roughness,35
2,3,2,1,Sharpness,5
2,3,2,1,Bumpyness,3
2,3,2,1,Adhesiveness,15
2,3,2,2,Roughness,30
2,3,2,2,Sharpness,10
2,3,2,2,Bumpyness,9
2,3,2,2,Adhesiveness,12
2,3,2,3,Roughness,12
2,3,2,3,Sharpness,35
2,3,2,3,Bumpyness,2
2,3,2,3,Adhesiveness,25
2,4,0,0,Roughness,10
2,4,0,0,Sharpness,2
2,4,0,0,Bumpyness,2
2,4,0,0,Adhesiveness,30
2,4,0,1,Roughness,12
2,4,0,1,Sharpness,4
2,4,0,1,Bumpyness,20
2,4,0,1,Adhesiveness,20
2,4,0,2,Roughness,15
2,4,0,2,Sharpness,20
2,4,0,2,Bumpyness,1
2,4,0,2,Adhesiveness,15
2,4,0,3,Roughness,12
2,4,0,3,Sharpness,18
2,4,0,3,Bumpyness,0
2,4,0,3,Adhesiveness,5
2,4,1,0,Roughness,3
2,4,1,0,Sharpness,0
2,4,1,0,Bumpyness,1
2,4,1,0,Adhesiveness,0
2,4,1,1,Roughness,20
2,4,1,1,Sharpness,15
2,4,1,1,Bumpyness,7
2,4,1,1,Adhesiveness,6
2,4,1,2,Roughness,6
2,4,1,2,Sharpness,10
2,4,1,2,Bumpyness,40
2,4,1,2,Adhesiveness,15
2,4,1,3,Roughness,5
2,4,1,3,Sharpness,12
2,4,1,3,Bumpyness,20
2,4,1,3,Adhesiveness,0
2,4,2,0,Roughness,15
2,4,2,0,Sharpness,10
2,4,2,0,Bumpyness,10
2,4,2,0,Adhesiveness,15
2,4,2,1,Roughness,30
2,4,2,1,Sharpness,20
2,4,2,1,Bumpyness,50
2,4,2,1,Adhesiveness,20
2,4,2,2,Roughness,15
2,4,2,2,Sharpness,30
2,4,2,2,Bumpyness,25
2,4,2,2,Adhesiveness,0
2,4,2,3,Roughness,15
2,4,2,3,Sharpness,30
2,4,2,3,Bumpyness,30
2,4,2,3,Adhesiveness,10
3,0,0,0,Roughness,30
3,0,0,0,Sharpness,20
3,0,0,0,Bumpyness,30
3,0,0,0,Adhesiveness,40
3,0,0,1,Roughness,40
3,0,0,1,Sharpness,50
3,0,0,1,Bumpyness,30
3,0,0,1,Adhesiveness,120
3,0,0,2,Roughness,50
3,0,0,2,Sharpness,60
3,0,0,2,Bumpyness,20
3,0,0,2,Adhesiveness,100
3,0,0,3,Roughness,50
3,0,0,3,Sharpness,30
3,0,0,3,Bumpyness,25
3,0,0,3,Adhesiveness,60
3,0,1,0,Roughness,40
3,0,1,0,Sharpness,40
3,0,1,0,Bumpyness,40
3,0,1,0,Adhesiveness,80
3,0,1,1,Roughness,65
3,0,1,1,Sharpness,100
3,0,1,1,Bumpyness,80
3,0,1,1,Adhesiveness,90
3,0,1,2,Roughness,65
3,0,1,2,Sharpness,50
3,0,1,2,Bumpyness,20
3,0,1,2,Adhesiveness,100
3,0,1,3,Roughness,70
3,0,1,3,Sharpness,70
3,0,1,3,Bumpyness,20
3,0,1,3,Adhesiveness,130
3,0,2,0,Roughness,78
3,0,2,0,Sharpness,90
3,0,2,0,Bumpyness,70
3,0,2,0,Adhesiveness,60
3,0,2,1,Roughness,110
3,0,2,1,Sharpness,80
3,0,2,1,Bumpyness,60
3,0,2,1,Adhesiveness,40
3,0,2,2,Roughness,70
3,0,2,2,Sharpness,80
3,0,2,2,Bumpyness,50
3,0,2,2,Adhesiveness,80
3,0,2,3,Roughness,80
3,0,2,3,Sharpness,70
3,0,2,3,Bumpyness,65
3,0,2,3,Adhesiveness,90
3,1,0,0,Roughness,40
3,1,0,0,Sharpness,50
3,1,0,0,Bumpyness,30
3,1,0,0,Adhesiveness,30
3,1,0,1,Roughness,50
3,1,0,1,Sharpness,40
3,1,0,1,Bumpyness,30
3,1,0,1,Adhesiveness,50
3,1,0,2,Roughness,65
3,1,0,2,Sharpness,40
3,1,0,2,Bumpyness,30
3,1,0,2,Adhesiveness,80
3,1,0,3,Roughness,60
3,1,0,3,Sharpness,50
3,1,0,3,Bumpyness,15
3,1,0,3,Adhesiveness,70
3,1,1,0,Roughness,40
3,1,1,0,Sharpness,10
3,1,1,0,Bumpyness,25
3,1,1,0,Adhesiveness,30
3,1,1,1,Roughness,65
3,1,1,1,Sharpness,70
3,1,1,1,Bumpyness,40
3,1,1,1,Adhesiveness,60
3,1,1,2,Roughness,60
3,1,1,2,Sharpness,50
3,1,1,2,Bumpyness,30
3,1,1,2,Adhesiveness,80
3,1,1,3,Roughness,55
3,1,1,3,Sharpness,70
3,1,1,3,Bumpyness,30
3,1,1,3,Adhesiveness,100
3,1,2,0,Roughness,60
3,1,2,0,Sharpness,50
3,1,2,0,Bumpyness,25
3,1,2,0,Adhesiveness,60
3,1,2,1,Roughness,90
3,1,2,1,Sharpness,90
3,1,2,1,Bumpyness,60
3,1,2,1,Adhesiveness,70
3,1,2,2,Roughness,80
3,1,2,2,Sharpness,70
3,1,2,2,Bumpyness,30
3,1,2,2,Adhesiveness,125
3,1,2,3,Roughness,70
3,1,2,3,Sharpness,40
3,1,2,3,Bumpyness,50
3,1,2,3,Adhesiveness,70
3,2,0,0,Roughness,40
3,2,0,0,Sharpness,30
3,2,0,0,Bumpyness,20
3,2,0,0,Adhesiveness,40
3,2,0,1,Roughness,60
3,2,0,1,Sharpness,50
3,2,0,1,Bumpyness,20
3,2,0,1,Adhesiveness,60
3,2,0,2,Roughness,55
3,2,0,2,Sharpness,30
3,2,0,2,Bumpyness,40
3,2,0,2,Adhesiveness,70
3,2,0,3,Roughness,40
3,2,0,3,Sharpness,30
3,2,0,3,Bumpyness,25
